system   D            wsystem.c:583  maybe_parent_dir                 [   0.00060] Also searching C:\Users\BSP-B.Tech\Documents\Visual Studio 2012\Projects\Load Runner 1.0\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00085] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00088] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.00314] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:696  _al_d3d_init_display             [   0.02934] Render-to-texture: 1
system   I             system.c:252  al_install_system                [   0.02942] Allegro version: 5.0.10
d3d      I         d3d_disp.cpp:1737 d3d_create_display_locked        [   0.03025] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1738 d3d_create_display_locked        [   0.03027] al_display=006D51B0
d3d      D         d3d_disp.cpp:1739 d3d_create_display_locked        [   0.03029] al_display->vt=006D50F8
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.04806] found 288 format combinations
display  D   display_settings.c:191  debug_display_settings           [   0.04894] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.04898] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.04900] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.04901] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.04903] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.04904] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.04905] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.04907] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.04908] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.04910] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.04911] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.04912] Score is : 715
